0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.0,3.6016226,0.0005718741,1.5116628,0.73377943,0.46169296,0.93130106,1.7278036,1.9838374,2.6940837,2.0959725,3.4260974,1.0222613,4.3905873,0.13693796,3.3523376,2.086524,2.7934492,0.7019347,0.9905074,4.0037227,4.841308,1.5671209,3.4616132,4.3819456,4.4730334,0.42522106,0.19527392,0.8491521,4.3907127,0.49173418,2.1055381,4.789448,2.6658263,3.4593856,1.5775782,3.4325047,4.173128,0.091441385,3.7507217,4.9443054,3.7408283,1.40222,3.9463966,0.51613003,2.2394676,4.5429773,1.4680707,1.4388767,0.65014285
0.0,3.3941777,1.0581406,1.3277333,2.4578657,0.2668127,2.870588,0.7336429,2.9465277,3.4987917,0.51167214,2.0702798,3.4720008,2.0708964,0.24976729,2.679482,3.3189733,2.5744455,4.722974,2.9327753,4.5170097,0.6873735,0.69638175,4.0369563,1.9883841,0.82677096,4.6375427,1.7388293,3.7540605,3.6299899,4.4165306,3.118361,3.754712,1.7444917,1.3496394,4.479431,2.140456,4.8242,3.3172076,3.1084785,0.5737299,4.747446,2.2495606,2.891948,2.040684,1.1851349,4.5168977,2.8683975,0.014351635,3.0857246
0.0,2.6352906,4.4297104,1.7863488,4.542676,3.1168005,0.07910621,4.6471863,3.4544847,4.986614,0.86170256,0.6856787,4.662977,3.4840908,0.33000088,3.7773154,3.769381,4.615123,3.5576239,0.6213548,0.09940067,0.13105494,0.14153244,1.2310554,4.30014,2.6941552,2.7641098,4.2101545,0.6208666,1.3959184,2.9287963,4.8479786,2.805151,0.09323645,4.0031633,1.1648713,4.035526,1.9393033,4.3177094,3.735608,2.7812011,0.6822761,0.29958844,0.6067173,0.2227594,0.53747064,1.1285467,3.564945,2.798585,0.0627799
0.0,4.8363814,2.8405023,1.0164661,1.2616287,3.7191293,0.9771474,2.9067945,4.8501,4.234144,1.1992388,2.4688485,3.0997787,4.1449046,0.78395694,0.09288101,0.3501107,2.4317255,3.0316472,2.844257,1.586812,4.943081,2.898726,1.9007058,2.7547412,3.7266722,3.3461645,1.3245978,0.33167416,1.850421,3.1485875,1.0508701,3.7637777,0.3326824,1.3015755,4.0237727,0.96717143,3.1973045,2.6233516,4.6240396,1.3164839,0.32980546,3.67533,3.8608902,4.539079,4.65986,0.069757864,1.1718104,3.0838919,4.7450814
0.0,2.7832658,4.5780315,3.2078311,1.9500386,2.4299533,3.0215523,2.7477396,4.630907,4.593667,1.9743781,4.816313,0.86977834,0.6316476,0.6753958,2.5283108,0.107624024,4.739851,4.135577,0.0750949,0.88098127,1.6603179,0.65498424,4.0474534,1.7236832,4.700537,2.910071,4.39416,4.2236724,4.526962,2.2994013,2.731734,3.993018,1.4285942,2.4512677,2.9955516,0.07766638,2.967407,2.1683817,4.036803,1.576224,4.4644437,2.889286,0.920051,3.9396462,3.0601559,0.26954636,2.1009684,3.3953443,4.593009
1.0,4.8837957,1.8829015,4.8689175,3.0235806,4.144229,2.8735576,3.140381,1.4278814,2.9341667,3.7501087,4.291569,3.775411,3.4902864,4.322397,1.613405,3.353944,2.2543697,1.9105138,2.0540566,2.007398,1.5869198,3.1095967,2.1512363,4.8690104,3.3890045,0.99284947,2.133505,1.7167312,3.988194,4.3999915,4.51921,3.313599,1.3510413,1.2618335,4.27449,2.6385732,4.0108056,2.8624425,3.6657126,2.5950582,3.8544195,2.84429,2.3285494,1.7134446,0.34104675,1.8896209,0.3981304,4.9140854,0.90806425
0.0,4.3748083,3.4420662,2.847472,0.8048572,2.3344002,1.7258602,1.1251998,2.9625595,1.5613492,4.5815277,4.5481777,1.2855915,0.55445653,0.96481365,2.4979208,3.6429284,1.0409722,1.2401677,4.2583594,2.0792437,3.0834253,1.1683307,0.5098363,2.5792851,2.385705,0.76335824,3.1090312,2.7200506,3.2706866,0.7227277,3.7576392,1.1102457,2.596759,3.92648,0.11165214,1.6218123,4.364612,4.223548,2.692203,4.333041,4.74903,4.132035,4.2705774,0.493717,3.2565217,3.517585,3.051204,3.9980762,0.17285609
1.0,3.658643,1.298492,1.2853465,3.1615167,1.7264873,3.9829433,2.2307312,3.913747,4.9523587,1.5012417,0.7150291,4.506542,2.7077968,4.873702,3.183022,4.969565,2.730354,2.6321297,0.6771395,1.7785258,0.13109283,0.8019759,3.728186,0.15199845,1.8327155,4.3117313,3.4633887,3.4547107,0.943184,2.2095213,2.907887,4.9487586,1.0195311,1.2386645,1.3108654,3.7508621,2.2848766,0.2846472,2.5425813,1.0598009,3.9930212,1.4866569,0.13803007,2.9671621,4.219202,1.9050807,3.7492917,2.5557075,2.7047591
0.0,4.0198045,0.16161533,3.5469363,2.3250074,4.737745,1.1071637,1.33536,0.40736982,2.143094,0.54509383,3.1689339,4.0148163,3.4840026,3.8310568,1.7122706,4.2292576,2.143844,4.1200495,3.1324809,0.7171152,0.3919345,0.09166321,0.333625,2.2929192,0.56670964,0.13891675,3.7743075,1.9742523,3.7346926,2.2620242,2.2504337,2.3903625,2.3700197,4.0158167,2.0119627,4.523431,0.18530524,3.8693717,0.6282069,3.092568,0.051821306,2.6931365,0.015089783,4.755969,4.52701,3.9798348,4.5763717,0.72779113,0.78865033
0.0,3.1124794,4.5290475,4.9497757,3.5556123,3.659002,4.546466,2.0043685,1.2492534,0.86715084,0.5972853,4.063053,0.7339619,1.3214874,4.095446,1.5529363,4.9120874,1.3331935,2.6682668,1.572335,4.553864,1.8327832,2.1679616,2.5614634,4.6944323,0.15474503,3.5843933,4.455095,0.13643612,2.6102562,1.6299491,4.2974467,2.7925828,3.4511395,2.2642674,3.1415453,1.4504843,0.04674289,2.8837798,1.557221,2.586338,4.5820293,2.132374,1.2369802,1.8564688,4.6593056,4.684342,4.2216496,4.6010327,1.1395015
